Job 8: processing RouteStick
  h5_file:    data/robomme_data_h5/record_dataset_RouteStick.h5
  output_dir: data/robomme_preprocessed_data/per_task/RouteStick
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_RouteStick.h5
Episode 0: timesteps=200, exec_start=100, kept_indices=368, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 24: timesteps=300, exec_start=150, kept_indices=411, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 25: timesteps=300, exec_start=150, kept_indices=482, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 26: timesteps=400, exec_start=200, kept_indices=534, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 27: timesteps=700, exec_start=350, kept_indices=801, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 28: timesteps=200, exec_start=100, kept_indices=262, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 29: timesteps=200, exec_start=100, kept_indices=313, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 30: timesteps=400, exec_start=200, kept_indices=496, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 31: timesteps=400, exec_start=200, kept_indices=425, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 32: timesteps=300, exec_start=150, kept_indices=384, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 33: timesteps=300, exec_start=150, kept_indices=466, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 34: timesteps=400, exec_start=200, kept_indices=621, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 35: timesteps=700, exec_start=350, kept_indices=855, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 36: timesteps=200, exec_start=100, kept_indices=242, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 37: timesteps=300, exec_start=150, kept_indices=373, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 38: timesteps=500, exec_start=250, kept_indices=666, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 39: timesteps=500, exec_start=250, kept_indices=671, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 40: timesteps=200, exec_start=100, kept_indices=301, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 41: timesteps=300, exec_start=150, kept_indices=392, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 42: timesteps=400, exec_start=200, kept_indices=564, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 43: timesteps=600, exec_start=300, kept_indices=841, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 44: timesteps=200, exec_start=100, kept_indices=361, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 45: timesteps=200, exec_start=100, kept_indices=314, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 46: timesteps=400, exec_start=200, kept_indices=522, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 47: timesteps=500, exec_start=250, kept_indices=682, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 48: timesteps=300, exec_start=150, kept_indices=383, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 49: timesteps=300, exec_start=150, kept_indices=414, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 50: timesteps=400, exec_start=200, kept_indices=549, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 51: timesteps=500, exec_start=250, kept_indices=630, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 52: timesteps=200, exec_start=100, kept_indices=243, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 53: timesteps=200, exec_start=100, kept_indices=319, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 54: timesteps=400, exec_start=200, kept_indices=568, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 55: timesteps=700, exec_start=350, kept_indices=916, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 56: timesteps=200, exec_start=100, kept_indices=362, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 57: timesteps=300, exec_start=150, kept_indices=392, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 58: timesteps=400, exec_start=200, kept_indices=495, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 59: timesteps=600, exec_start=300, kept_indices=857, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 60: timesteps=300, exec_start=150, kept_indices=476, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 61: timesteps=300, exec_start=150, kept_indices=467, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 62: timesteps=400, exec_start=200, kept_indices=556, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 63: timesteps=500, exec_start=250, kept_indices=753, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 64: timesteps=300, exec_start=150, kept_indices=462, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 65: timesteps=300, exec_start=150, kept_indices=379, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 66: timesteps=400, exec_start=200, kept_indices=597, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 67: timesteps=700, exec_start=350, kept_indices=906, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 68: timesteps=200, exec_start=100, kept_indices=333, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 69: timesteps=200, exec_start=100, kept_indices=377, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 70: timesteps=500, exec_start=250, kept_indices=638, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 71: timesteps=600, exec_start=300, kept_indices=946, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 72: timesteps=300, exec_start=150, kept_indices=354, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 73: timesteps=300, exec_start=150, kept_indices=405, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 74: timesteps=500, exec_start=250, kept_indices=616, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 75: timesteps=400, exec_start=200, kept_indices=575, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 76: timesteps=300, exec_start=150, kept_indices=485, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 77: timesteps=200, exec_start=100, kept_indices=310, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 78: timesteps=400, exec_start=200, kept_indices=597, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 79: timesteps=700, exec_start=350, kept_indices=645, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 80: timesteps=200, exec_start=100, kept_indices=289, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 81: timesteps=200, exec_start=100, kept_indices=364, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 82: timesteps=400, exec_start=200, kept_indices=563, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 83: timesteps=600, exec_start=300, kept_indices=838, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 84: timesteps=200, exec_start=100, kept_indices=269, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 85: timesteps=300, exec_start=150, kept_indices=430, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 86: timesteps=500, exec_start=250, kept_indices=612, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 87: timesteps=600, exec_start=300, kept_indices=758, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 88: timesteps=200, exec_start=100, kept_indices=277, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 89: timesteps=300, exec_start=150, kept_indices=428, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 90: timesteps=500, exec_start=250, kept_indices=688, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 91: timesteps=400, exec_start=200, kept_indices=537, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 92: timesteps=300, exec_start=150, kept_indices=444, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 93: timesteps=200, exec_start=100, kept_indices=342, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 94: timesteps=500, exec_start=250, kept_indices=741, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 95: timesteps=500, exec_start=250, kept_indices=682, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 96: timesteps=200, exec_start=100, kept_indices=224, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 97: timesteps=200, exec_start=100, kept_indices=319, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 98: timesteps=400, exec_start=200, kept_indices=525, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 99: timesteps=400, exec_start=200, kept_indices=579, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Done in 17.92 minutes
