Job 0: processing BinFill
  h5_file:    data/robomme_data_h5/record_dataset_BinFill.h5
  output_dir: data/robomme_preprocessed_data/per_task/BinFill
  hostname:   crushinator.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_BinFill.h5
Episode 0: timesteps=550, exec_start=0, kept_indices=590, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 44: timesteps=491, exec_start=0, kept_indices=481, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 45: timesteps=288, exec_start=0, kept_indices=306, task_goal='put one red cube into the bin, then press the button to stop'
Episode 46: timesteps=926, exec_start=0, kept_indices=1103, task_goal='put four red cubes into the bin, then press the button to stop'
Episode 47: timesteps=788, exec_start=0, kept_indices=816, task_goal='put one blue cube and three green cubes into the bin, then press the button to stop'
Episode 48: timesteps=308, exec_start=0, kept_indices=265, task_goal='put one green cube into the bin, then press the button to stop'
Episode 49: timesteps=282, exec_start=0, kept_indices=357, task_goal='put one red cube into the bin, then press the button to stop'
Episode 50: timesteps=781, exec_start=0, kept_indices=803, task_goal='put three blue cubes and one green cube into the bin, then press the button to stop'
Episode 51: timesteps=868, exec_start=0, kept_indices=981, task_goal='put four blue cubes into the bin, then press the button to stop'
Episode 52: timesteps=690, exec_start=0, kept_indices=731, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 53: timesteps=288, exec_start=0, kept_indices=330, task_goal='put one red cube into the bin, then press the button to stop'
Episode 54: timesteps=432, exec_start=0, kept_indices=405, task_goal='put one red cube and one blue cube into the bin, then press the button to stop'
Episode 55: timesteps=939, exec_start=0, kept_indices=873, task_goal='put two red cubes and three green cubes into the bin, then press the button to stop'
Episode 56: timesteps=642, exec_start=0, kept_indices=570, task_goal='put three green cubes into the bin, then press the button to stop'
Episode 57: timesteps=576, exec_start=0, kept_indices=518, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 58: timesteps=655, exec_start=0, kept_indices=625, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 59: timesteps=970, exec_start=0, kept_indices=1067, task_goal='put three blue cubes and two green cubes into the bin, then press the button to stop'
Episode 60: timesteps=616, exec_start=0, kept_indices=643, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 61: timesteps=277, exec_start=0, kept_indices=294, task_goal='put one green cube into the bin, then press the button to stop'
Episode 62: timesteps=503, exec_start=0, kept_indices=386, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 63: timesteps=1044, exec_start=0, kept_indices=1345, task_goal='put two red cubes and three green cubes into the bin, then press the button to stop'
Episode 64: timesteps=266, exec_start=0, kept_indices=348, task_goal='put one green cube into the bin, then press the button to stop'
Episode 65: timesteps=454, exec_start=0, kept_indices=424, task_goal='put two green cubes into the bin, then press the button to stop'
Episode 66: timesteps=846, exec_start=0, kept_indices=938, task_goal='put two red cubes and two green cubes into the bin, then press the button to stop'
Episode 67: timesteps=981, exec_start=0, kept_indices=1129, task_goal='put two red cubes, two blue cubes and one green cube into the bin, then press the button to stop'
Episode 68: timesteps=641, exec_start=0, kept_indices=726, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 69: timesteps=304, exec_start=0, kept_indices=383, task_goal='put one green cube into the bin, then press the button to stop'
Episode 70: timesteps=846, exec_start=0, kept_indices=862, task_goal='put three blue cubes and one green cube into the bin, then press the button to stop'
Episode 71: timesteps=1011, exec_start=0, kept_indices=902, task_goal='put three blue cubes and two green cubes into the bin, then press the button to stop'
Episode 72: timesteps=607, exec_start=0, kept_indices=797, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 73: timesteps=292, exec_start=0, kept_indices=361, task_goal='put one blue cube into the bin, then press the button to stop'
Episode 74: timesteps=447, exec_start=0, kept_indices=526, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 75: timesteps=894, exec_start=0, kept_indices=956, task_goal='put four blue cubes and one green cube into the bin, then press the button to stop'
Episode 76: timesteps=474, exec_start=0, kept_indices=452, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 77: timesteps=469, exec_start=0, kept_indices=635, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 78: timesteps=421, exec_start=0, kept_indices=384, task_goal='put two green cubes into the bin, then press the button to stop'
Episode 79: timesteps=963, exec_start=0, kept_indices=967, task_goal='put one red cube, three blue cubes and one green cube into the bin, then press the button to stop'
Episode 80: timesteps=271, exec_start=0, kept_indices=286, task_goal='put one red cube into the bin, then press the button to stop'
Episode 81: timesteps=589, exec_start=0, kept_indices=727, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 82: timesteps=439, exec_start=0, kept_indices=569, task_goal='put two green cubes into the bin, then press the button to stop'
Episode 83: timesteps=819, exec_start=0, kept_indices=1196, task_goal='put one red cube and three green cubes into the bin, then press the button to stop'
Episode 84: timesteps=423, exec_start=0, kept_indices=554, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 85: timesteps=448, exec_start=0, kept_indices=408, task_goal='put two green cubes into the bin, then press the button to stop'
Episode 86: timesteps=840, exec_start=0, kept_indices=943, task_goal='put one red cube and three blue cubes into the bin, then press the button to stop'
Episode 87: timesteps=791, exec_start=0, kept_indices=946, task_goal='put three blue cubes and one green cube into the bin, then press the button to stop'
Episode 88: timesteps=646, exec_start=0, kept_indices=739, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 89: timesteps=271, exec_start=0, kept_indices=291, task_goal='put one red cube into the bin, then press the button to stop'
Episode 90: timesteps=789, exec_start=0, kept_indices=719, task_goal='put one red cube and three green cubes into the bin, then press the button to stop'
Episode 91: timesteps=945, exec_start=0, kept_indices=1165, task_goal='put two red cubes, one blue cube and two green cubes into the bin, then press the button to stop'
Episode 92: timesteps=467, exec_start=0, kept_indices=533, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 93: timesteps=321, exec_start=0, kept_indices=292, task_goal='put one blue cube into the bin, then press the button to stop'
Episode 94: timesteps=628, exec_start=0, kept_indices=628, task_goal='put two red cubes and one green cube into the bin, then press the button to stop'
Episode 95: timesteps=695, exec_start=0, kept_indices=661, task_goal='put one red cube, one blue cube and one green cube into the bin, then press the button to stop'
Episode 96: timesteps=280, exec_start=0, kept_indices=275, task_goal='put one green cube into the bin, then press the button to stop'
Episode 97: timesteps=466, exec_start=0, kept_indices=392, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 98: timesteps=587, exec_start=0, kept_indices=689, task_goal='put one blue cube and two green cubes into the bin, then press the button to stop'
Episode 99: timesteps=644, exec_start=0, kept_indices=752, task_goal='put one red cube and two blue cubes into the bin, then press the button to stop'
Done in 28.06 minutes
