Job 11: processing VideoPlaceButton
  h5_file:    data/robomme_data_h5/record_dataset_VideoPlaceButton.h5
  output_dir: data/robomme_preprocessed_data/per_task/VideoPlaceButton
  hostname:   dave.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_VideoPlaceButton.h5
Episode 0: timesteps=1048, exec_start=765, kept_indices=1442, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 16: timesteps=957, exec_start=761, kept_indices=1120, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 17: timesteps=932, exec_start=736, kept_indices=1271, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 18: timesteps=954, exec_start=748, kept_indices=1105, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 19: timesteps=900, exec_start=703, kept_indices=1233, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 20: timesteps=924, exec_start=722, kept_indices=1244, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 21: timesteps=929, exec_start=717, kept_indices=1292, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 22: timesteps=940, exec_start=742, kept_indices=1218, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 23: timesteps=987, exec_start=778, kept_indices=1459, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 24: timesteps=910, exec_start=720, kept_indices=1029, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 25: timesteps=920, exec_start=715, kept_indices=1092, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 26: timesteps=973, exec_start=770, kept_indices=1066, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 27: timesteps=1002, exec_start=803, kept_indices=1358, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 28: timesteps=963, exec_start=764, kept_indices=1206, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 29: timesteps=989, exec_start=782, kept_indices=1243, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 30: timesteps=929, exec_start=736, kept_indices=1149, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 31: timesteps=944, exec_start=740, kept_indices=1149, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 32: timesteps=949, exec_start=747, kept_indices=1144, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 33: timesteps=1014, exec_start=811, kept_indices=1162, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 34: timesteps=960, exec_start=765, kept_indices=1131, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 35: timesteps=976, exec_start=781, kept_indices=1197, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 36: timesteps=919, exec_start=730, kept_indices=1192, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 37: timesteps=964, exec_start=746, kept_indices=1352, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 38: timesteps=959, exec_start=765, kept_indices=1385, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 39: timesteps=935, exec_start=742, kept_indices=1364, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 40: timesteps=962, exec_start=750, kept_indices=1106, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 41: timesteps=981, exec_start=784, kept_indices=1182, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 42: timesteps=953, exec_start=753, kept_indices=1235, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 43: timesteps=955, exec_start=752, kept_indices=1134, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 44: timesteps=975, exec_start=774, kept_indices=1171, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 45: timesteps=935, exec_start=736, kept_indices=1174, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 46: timesteps=986, exec_start=779, kept_indices=1076, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 47: timesteps=955, exec_start=743, kept_indices=1081, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 48: timesteps=981, exec_start=780, kept_indices=1034, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 49: timesteps=961, exec_start=765, kept_indices=1191, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 50: timesteps=942, exec_start=746, kept_indices=1116, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 51: timesteps=968, exec_start=767, kept_indices=1422, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 52: timesteps=986, exec_start=771, kept_indices=1144, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 53: timesteps=934, exec_start=731, kept_indices=1234, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 54: timesteps=943, exec_start=750, kept_indices=1157, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 55: timesteps=961, exec_start=757, kept_indices=1345, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 56: timesteps=945, exec_start=744, kept_indices=1239, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 57: timesteps=985, exec_start=792, kept_indices=1321, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 58: timesteps=952, exec_start=758, kept_indices=1087, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 59: timesteps=985, exec_start=769, kept_indices=1570, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 60: timesteps=935, exec_start=740, kept_indices=1115, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 61: timesteps=989, exec_start=787, kept_indices=1369, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 62: timesteps=939, exec_start=746, kept_indices=1161, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 63: timesteps=951, exec_start=743, kept_indices=1282, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 64: timesteps=964, exec_start=764, kept_indices=1335, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 65: timesteps=920, exec_start=727, kept_indices=1120, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 66: timesteps=958, exec_start=754, kept_indices=1007, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 67: timesteps=966, exec_start=762, kept_indices=1256, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 68: timesteps=947, exec_start=753, kept_indices=1517, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 69: timesteps=916, exec_start=719, kept_indices=1164, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 70: timesteps=1011, exec_start=815, kept_indices=1421, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 71: timesteps=1018, exec_start=818, kept_indices=1485, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 72: timesteps=939, exec_start=744, kept_indices=1098, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 73: timesteps=1004, exec_start=780, kept_indices=1644, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 74: timesteps=971, exec_start=777, kept_indices=1360, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 75: timesteps=1011, exec_start=801, kept_indices=1381, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 76: timesteps=980, exec_start=776, kept_indices=1339, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 77: timesteps=943, exec_start=748, kept_indices=1045, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 78: timesteps=960, exec_start=768, kept_indices=1224, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 79: timesteps=908, exec_start=713, kept_indices=1191, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 80: timesteps=972, exec_start=778, kept_indices=1209, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 81: timesteps=971, exec_start=769, kept_indices=1343, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 82: timesteps=1037, exec_start=818, kept_indices=1539, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 83: timesteps=996, exec_start=801, kept_indices=1321, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 84: timesteps=1009, exec_start=799, kept_indices=1353, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 85: timesteps=949, exec_start=752, kept_indices=1230, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 86: timesteps=962, exec_start=768, kept_indices=1150, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 87: timesteps=912, exec_start=712, kept_indices=1432, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 88: timesteps=956, exec_start=745, kept_indices=1347, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 89: timesteps=972, exec_start=773, kept_indices=1168, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 90: timesteps=948, exec_start=746, kept_indices=1130, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 91: timesteps=1000, exec_start=798, kept_indices=1228, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 92: timesteps=954, exec_start=759, kept_indices=1104, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 93: timesteps=946, exec_start=743, kept_indices=1489, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 94: timesteps=957, exec_start=762, kept_indices=1096, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 95: timesteps=953, exec_start=744, kept_indices=1676, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 96: timesteps=946, exec_start=744, kept_indices=1147, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 97: timesteps=983, exec_start=770, kept_indices=1435, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 98: timesteps=963, exec_start=758, kept_indices=1127, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 99: timesteps=958, exec_start=755, kept_indices=1369, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Done in 41.51 minutes
