Job 6: processing PickHighlight
  h5_file:    data/robomme_data_h5/record_dataset_PickHighlight.h5
  output_dir: data/robomme_preprocessed_data/per_task/PickHighlight
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_PickHighlight.h5
Episode 0: timesteps=308, exec_start=0, kept_indices=253, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 22: timesteps=384, exec_start=0, kept_indices=490, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 23: timesteps=518, exec_start=0, kept_indices=590, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 24: timesteps=218, exec_start=0, kept_indices=270, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 25: timesteps=223, exec_start=0, kept_indices=291, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 26: timesteps=404, exec_start=0, kept_indices=325, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 27: timesteps=556, exec_start=0, kept_indices=454, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 28: timesteps=202, exec_start=0, kept_indices=204, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 29: timesteps=224, exec_start=0, kept_indices=246, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 30: timesteps=391, exec_start=0, kept_indices=360, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 31: timesteps=509, exec_start=0, kept_indices=535, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 32: timesteps=220, exec_start=0, kept_indices=179, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 33: timesteps=226, exec_start=0, kept_indices=219, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 34: timesteps=394, exec_start=0, kept_indices=432, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 35: timesteps=510, exec_start=0, kept_indices=670, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 36: timesteps=212, exec_start=0, kept_indices=223, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 37: timesteps=225, exec_start=0, kept_indices=299, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 38: timesteps=369, exec_start=0, kept_indices=432, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 39: timesteps=495, exec_start=0, kept_indices=695, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 40: timesteps=256, exec_start=0, kept_indices=190, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 41: timesteps=225, exec_start=0, kept_indices=283, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 42: timesteps=368, exec_start=0, kept_indices=377, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 43: timesteps=523, exec_start=0, kept_indices=691, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 44: timesteps=229, exec_start=0, kept_indices=229, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 45: timesteps=221, exec_start=0, kept_indices=270, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 46: timesteps=378, exec_start=0, kept_indices=413, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 47: timesteps=557, exec_start=0, kept_indices=757, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 48: timesteps=200, exec_start=0, kept_indices=204, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 49: timesteps=231, exec_start=0, kept_indices=206, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 50: timesteps=421, exec_start=0, kept_indices=319, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 51: timesteps=526, exec_start=0, kept_indices=631, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 52: timesteps=224, exec_start=0, kept_indices=296, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 53: timesteps=247, exec_start=0, kept_indices=174, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 54: timesteps=378, exec_start=0, kept_indices=292, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 55: timesteps=539, exec_start=0, kept_indices=689, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 56: timesteps=222, exec_start=0, kept_indices=241, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 57: timesteps=223, exec_start=0, kept_indices=224, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 58: timesteps=400, exec_start=0, kept_indices=453, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 59: timesteps=554, exec_start=0, kept_indices=595, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 60: timesteps=225, exec_start=0, kept_indices=253, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 61: timesteps=243, exec_start=0, kept_indices=219, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 62: timesteps=371, exec_start=0, kept_indices=446, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 63: timesteps=526, exec_start=0, kept_indices=624, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 64: timesteps=199, exec_start=0, kept_indices=230, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 65: timesteps=204, exec_start=0, kept_indices=221, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 66: timesteps=362, exec_start=0, kept_indices=488, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 67: timesteps=529, exec_start=0, kept_indices=598, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 68: timesteps=233, exec_start=0, kept_indices=321, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 69: timesteps=214, exec_start=0, kept_indices=256, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 70: timesteps=393, exec_start=0, kept_indices=484, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 71: timesteps=554, exec_start=0, kept_indices=489, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 72: timesteps=223, exec_start=0, kept_indices=220, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 73: timesteps=235, exec_start=0, kept_indices=297, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 74: timesteps=400, exec_start=0, kept_indices=433, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 75: timesteps=565, exec_start=0, kept_indices=580, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 76: timesteps=223, exec_start=0, kept_indices=221, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 77: timesteps=228, exec_start=0, kept_indices=279, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 78: timesteps=361, exec_start=0, kept_indices=532, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 79: timesteps=576, exec_start=0, kept_indices=586, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 80: timesteps=222, exec_start=0, kept_indices=255, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 81: timesteps=224, exec_start=0, kept_indices=263, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 82: timesteps=377, exec_start=0, kept_indices=537, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 83: timesteps=543, exec_start=0, kept_indices=764, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 84: timesteps=200, exec_start=0, kept_indices=206, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 85: timesteps=211, exec_start=0, kept_indices=275, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 86: timesteps=383, exec_start=0, kept_indices=355, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 87: timesteps=496, exec_start=0, kept_indices=693, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 88: timesteps=232, exec_start=0, kept_indices=235, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 89: timesteps=249, exec_start=0, kept_indices=183, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 90: timesteps=343, exec_start=0, kept_indices=460, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 91: timesteps=492, exec_start=0, kept_indices=654, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 92: timesteps=233, exec_start=0, kept_indices=277, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 93: timesteps=217, exec_start=0, kept_indices=200, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 94: timesteps=386, exec_start=0, kept_indices=435, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 95: timesteps=545, exec_start=0, kept_indices=672, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 96: timesteps=213, exec_start=0, kept_indices=221, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 97: timesteps=237, exec_start=0, kept_indices=299, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 98: timesteps=357, exec_start=0, kept_indices=492, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 99: timesteps=511, exec_start=0, kept_indices=670, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Done in 17.28 minutes
