Job 9: processing StopCube
  h5_file:    data/robomme_data_h5/record_dataset_StopCube.h5
  output_dir: data/robomme_preprocessed_data/per_task/StopCube
  hostname:   qt-1.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_StopCube.h5
Episode 0: timesteps=459, exec_start=0, kept_indices=240, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 38: timesteps=129, exec_start=0, kept_indices=161, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 39: timesteps=338, exec_start=0, kept_indices=189, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 40: timesteps=336, exec_start=0, kept_indices=228, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 41: timesteps=455, exec_start=0, kept_indices=293, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 42: timesteps=576, exec_start=0, kept_indices=261, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 43: timesteps=456, exec_start=0, kept_indices=255, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 44: timesteps=395, exec_start=0, kept_indices=196, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 45: timesteps=336, exec_start=0, kept_indices=210, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 46: timesteps=217, exec_start=0, kept_indices=181, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 47: timesteps=130, exec_start=0, kept_indices=154, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 48: timesteps=337, exec_start=0, kept_indices=241, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 49: timesteps=237, exec_start=0, kept_indices=211, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 50: timesteps=578, exec_start=0, kept_indices=261, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 51: timesteps=158, exec_start=0, kept_indices=163, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 52: timesteps=221, exec_start=0, kept_indices=180, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 53: timesteps=457, exec_start=0, kept_indices=287, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 54: timesteps=134, exec_start=0, kept_indices=151, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 55: timesteps=122, exec_start=0, kept_indices=154, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 56: timesteps=132, exec_start=0, kept_indices=151, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 57: timesteps=581, exec_start=0, kept_indices=264, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 58: timesteps=402, exec_start=0, kept_indices=248, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 59: timesteps=235, exec_start=0, kept_indices=200, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 60: timesteps=160, exec_start=0, kept_indices=167, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 61: timesteps=155, exec_start=0, kept_indices=167, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 62: timesteps=577, exec_start=0, kept_indices=296, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 63: timesteps=310, exec_start=0, kept_indices=212, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 64: timesteps=451, exec_start=0, kept_indices=220, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 65: timesteps=236, exec_start=0, kept_indices=198, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 66: timesteps=218, exec_start=0, kept_indices=177, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 67: timesteps=318, exec_start=0, kept_indices=196, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 68: timesteps=310, exec_start=0, kept_indices=219, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 69: timesteps=301, exec_start=0, kept_indices=208, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 70: timesteps=578, exec_start=0, kept_indices=271, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 71: timesteps=459, exec_start=0, kept_indices=223, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 72: timesteps=302, exec_start=0, kept_indices=216, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 73: timesteps=325, exec_start=0, kept_indices=237, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 74: timesteps=237, exec_start=0, kept_indices=208, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 75: timesteps=217, exec_start=0, kept_indices=190, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 76: timesteps=455, exec_start=0, kept_indices=251, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 77: timesteps=580, exec_start=0, kept_indices=305, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 78: timesteps=305, exec_start=0, kept_indices=205, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 79: timesteps=407, exec_start=0, kept_indices=204, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 80: timesteps=395, exec_start=0, kept_indices=273, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 81: timesteps=136, exec_start=0, kept_indices=155, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 82: timesteps=460, exec_start=0, kept_indices=252, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 83: timesteps=241, exec_start=0, kept_indices=185, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 84: timesteps=399, exec_start=0, kept_indices=251, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 85: timesteps=454, exec_start=0, kept_indices=234, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 86: timesteps=249, exec_start=0, kept_indices=170, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 87: timesteps=237, exec_start=0, kept_indices=168, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 88: timesteps=469, exec_start=0, kept_indices=252, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 89: timesteps=312, exec_start=0, kept_indices=230, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 90: timesteps=315, exec_start=0, kept_indices=226, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 91: timesteps=126, exec_start=0, kept_indices=166, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 92: timesteps=157, exec_start=0, kept_indices=152, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 93: timesteps=127, exec_start=0, kept_indices=137, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 94: timesteps=333, exec_start=0, kept_indices=236, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 95: timesteps=336, exec_start=0, kept_indices=206, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 96: timesteps=181, exec_start=0, kept_indices=160, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 97: timesteps=221, exec_start=0, kept_indices=164, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 98: timesteps=121, exec_start=0, kept_indices=147, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 99: timesteps=211, exec_start=0, kept_indices=171, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Done in 15.66 minutes
