Job 5: processing PatternLock
  h5_file:    data/robomme_data_h5/record_dataset_PatternLock.h5
  output_dir: data/robomme_preprocessed_data/per_task/PatternLock
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_PatternLock.h5
Episode 0: timesteps=96, exec_start=48, kept_indices=183, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 14: timesteps=294, exec_start=147, kept_indices=453, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 15: timesteps=334, exec_start=167, kept_indices=497, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 16: timesteps=200, exec_start=100, kept_indices=306, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 17: timesteps=204, exec_start=102, kept_indices=292, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 18: timesteps=182, exec_start=91, kept_indices=223, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 19: timesteps=484, exec_start=242, kept_indices=541, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 20: timesteps=140, exec_start=70, kept_indices=187, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 21: timesteps=210, exec_start=105, kept_indices=324, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 22: timesteps=210, exec_start=105, kept_indices=376, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 23: timesteps=498, exec_start=249, kept_indices=804, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 24: timesteps=202, exec_start=101, kept_indices=263, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 25: timesteps=126, exec_start=63, kept_indices=245, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 26: timesteps=134, exec_start=67, kept_indices=292, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 27: timesteps=316, exec_start=158, kept_indices=324, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 28: timesteps=140, exec_start=70, kept_indices=232, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 29: timesteps=192, exec_start=96, kept_indices=272, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 30: timesteps=204, exec_start=102, kept_indices=276, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 31: timesteps=414, exec_start=207, kept_indices=734, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 32: timesteps=136, exec_start=68, kept_indices=202, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 33: timesteps=208, exec_start=104, kept_indices=292, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 34: timesteps=312, exec_start=156, kept_indices=561, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 35: timesteps=194, exec_start=97, kept_indices=305, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 36: timesteps=192, exec_start=96, kept_indices=299, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 37: timesteps=140, exec_start=70, kept_indices=203, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 38: timesteps=120, exec_start=60, kept_indices=193, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 39: timesteps=256, exec_start=128, kept_indices=269, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 40: timesteps=68, exec_start=34, kept_indices=159, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 41: timesteps=164, exec_start=82, kept_indices=326, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 42: timesteps=244, exec_start=122, kept_indices=267, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 43: timesteps=324, exec_start=162, kept_indices=314, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 44: timesteps=76, exec_start=38, kept_indices=167, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 45: timesteps=112, exec_start=56, kept_indices=191, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 46: timesteps=118, exec_start=59, kept_indices=137, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 47: timesteps=442, exec_start=221, kept_indices=485, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 48: timesteps=140, exec_start=70, kept_indices=265, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 49: timesteps=126, exec_start=63, kept_indices=235, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 50: timesteps=200, exec_start=100, kept_indices=279, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 51: timesteps=318, exec_start=159, kept_indices=668, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 52: timesteps=118, exec_start=59, kept_indices=221, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 53: timesteps=66, exec_start=33, kept_indices=153, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 54: timesteps=154, exec_start=77, kept_indices=312, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 55: timesteps=454, exec_start=227, kept_indices=558, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 56: timesteps=130, exec_start=65, kept_indices=233, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 57: timesteps=136, exec_start=68, kept_indices=200, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 58: timesteps=290, exec_start=145, kept_indices=521, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 59: timesteps=380, exec_start=190, kept_indices=734, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 60: timesteps=140, exec_start=70, kept_indices=226, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 61: timesteps=50, exec_start=25, kept_indices=120, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 62: timesteps=134, exec_start=67, kept_indices=269, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 63: timesteps=264, exec_start=132, kept_indices=259, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 64: timesteps=218, exec_start=109, kept_indices=362, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 65: timesteps=128, exec_start=64, kept_indices=233, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 66: timesteps=290, exec_start=145, kept_indices=460, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 67: timesteps=500, exec_start=250, kept_indices=876, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 68: timesteps=140, exec_start=70, kept_indices=202, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 69: timesteps=64, exec_start=32, kept_indices=158, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 70: timesteps=256, exec_start=128, kept_indices=406, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 71: timesteps=186, exec_start=93, kept_indices=187, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 72: timesteps=66, exec_start=33, kept_indices=153, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 73: timesteps=74, exec_start=37, kept_indices=130, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 74: timesteps=114, exec_start=57, kept_indices=201, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 75: timesteps=372, exec_start=186, kept_indices=371, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 76: timesteps=208, exec_start=104, kept_indices=289, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 77: timesteps=194, exec_start=97, kept_indices=348, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 78: timesteps=218, exec_start=109, kept_indices=237, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 79: timesteps=298, exec_start=149, kept_indices=525, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 80: timesteps=182, exec_start=91, kept_indices=306, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 81: timesteps=138, exec_start=69, kept_indices=190, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 82: timesteps=180, exec_start=90, kept_indices=190, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 83: timesteps=410, exec_start=205, kept_indices=665, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 84: timesteps=182, exec_start=91, kept_indices=310, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 85: timesteps=132, exec_start=66, kept_indices=178, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 86: timesteps=304, exec_start=152, kept_indices=586, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 87: timesteps=568, exec_start=284, kept_indices=940, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 88: timesteps=64, exec_start=32, kept_indices=133, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 89: timesteps=162, exec_start=81, kept_indices=310, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 90: timesteps=116, exec_start=58, kept_indices=149, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 91: timesteps=244, exec_start=122, kept_indices=557, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 92: timesteps=220, exec_start=110, kept_indices=291, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 93: timesteps=140, exec_start=70, kept_indices=247, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 94: timesteps=124, exec_start=62, kept_indices=288, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 95: timesteps=322, exec_start=161, kept_indices=678, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 96: timesteps=66, exec_start=33, kept_indices=118, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 97: timesteps=208, exec_start=104, kept_indices=292, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 98: timesteps=264, exec_start=132, kept_indices=316, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 99: timesteps=234, exec_start=117, kept_indices=352, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Done in 10.43 minutes
